rid,ri_stratum
5e872624-471e-45b6-47c8-2eb0932fccc9,18
5e872636-a1d5-cf82-8a66-6a16fed4ae04,60
5e872660-51b2-dcc0-d219-545514fa61be,14
5e87266b-3899-fb85-36c8-b578ca5dd794,24
5e87266d-6f39-b2f2-ec4f-7f6e0544029b,18
5e87266e-aded-0a29-4fb6-6842c4803b06,21
5e872670-9822-4344-7296-e669cf3e30f8,9
5e872673-7260-5402-4546-80989a29158a,12
5e872675-def1-efb0-9b6a-c783080c102d,15
5e87267b-39c2-810e-ad72-d21197498ea0,7
5e87267e-7781-f859-722c-ce67895d3678,10
5e872682-2de6-54b0-a5b3-fd933e1abdfb,3
5e87268c-95ed-60c7-3c6a-e2e93b5fcea2,7
5e872691-98ec-e921-f98f-21e927484d7b,5
5e8726ab-43da-fd4a-b01b-929c694b6853,20
5e8726b0-cae2-9ff1-e175-fa7116b48d18,1
5e8726b1-63ea-ddad-f51f-88bdc73faff2,15
5e8726b3-6276-1249-4709-3d0617b18e88,4
5e8726bc-1220-aa4c-8a62-0b5956f29d9b,9
5e8726bc-eb7b-531a-d030-ea2225040090,9
5e8726cd-86f6-47b7-d742-8acfbf8b0db2,1
5e8726d5-8ef2-af76-124d-807f61e4eac5,19
5e8726db-8b86-fcb3-0dda-5d888f293e77,13
5e8726e0-09a9-0118-b85b-78b11c726896,7
5e8726fa-2015-a02e-0429-532724421fa7,5
5e8726fe-de6c-bd18-af9e-c3b67100763c,18
5e872701-4f4a-bba7-01e4-7057ce7d4dd6,12
5e872709-6169-e3fe-0c61-690bb86853d0,12
5e87270d-c513-8923-fe9a-5a56557fb9d5,6
5e87270e-59c1-ff41-5ba1-0e6e2bf11ed4,7
5e872710-c64c-8539-f838-b063c0d440e8,47
5e872711-3730-7782-8128-cf849746adda,1
5e872717-b766-fb18-8e73-515336ace87d,9
5e872719-af14-8f0f-7ba4-1ef708c51e95,17
5e87271e-18fd-e5fd-bc24-34544c36a49c,27
5e872727-0d10-5470-0b11-a26fda3b1777,4
5e872731-6dc5-4920-1085-60c95aac6856,2
5e872732-1f10-6fff-64a1-7df61a5950cd,18
5e872732-e23b-8239-47c3-7cc201c3ea3e,10
5e872733-6a4d-c9fe-ac8a-9d7b3d0bcd62,1
5e872734-e2d6-3c21-1747-63abe55621ce,9
5e872748-3cbb-e470-5a77-4029df35eefb,2
5e87274a-5124-529b-21fb-b8cb6e411646,22
5e87274c-152b-9b51-481f-f1f2007053d1,4
5e87274e-71d9-660e-a781-0bf22d41c2f0,19
5e872751-e688-e264-f686-69dd2bb97287,23
5e872755-4539-5336-031c-c713c943bc34,11
5e872757-c9a2-dce4-9b74-376a7cdc07aa,16
5e872764-53f7-fb0b-3a5f-59369cbdb2fb,12
5e87276e-08db-55da-a584-db6f9cffbc57,5
5e87277f-1ffa-8e13-2bb4-094cddeb1d20,3
5e872783-c571-aa59-ef17-155c53f0297d,4
5e872785-9e7c-3748-d521-2ab7bc38d5b8,13
5e872789-c3e5-5ce7-7032-c717dbaac625,10
5e872799-f0e1-b232-e239-7f0d373241d9,16
5e8727ad-52af-a46f-a4a5-02a7e1ae3826,20
5e8727ad-d1ad-5cd0-3ed2-114fb791e011,5
5e8727b6-bfc9-c4d4-e642-3d2dcc139192,23
5e8727b9-6488-f362-e6b6-bf8f16985ab3,41
5e8727be-d017-2a70-3d18-3cb5c2dae72a,47
5e8727bf-4acc-f5c0-edda-34c50aab44b4,8
5e8727ce-d611-dd4f-7e93-7cc05dcede00,15
5e8727cf-7135-54b4-ca9b-c552c516628c,22
5e8727d9-512d-864d-e6dd-dbad1dd82389,1
5e8727db-796a-a282-2a3e-1722488d77a0,32
5e8727e6-d991-038a-f151-6d3ee178f5e8,17
5e8727ed-1171-397b-0c48-45c85a01bea7,24
5e8727f2-0c1b-702a-30c7-82f3f67354c6,1
5e872807-d8dc-c44c-6ee0-09a9c3086185,11
5e872808-cf05-3f08-df0e-ff1d308bb028,19
5e872818-92ce-216b-1c6f-41fdf08f7fda,27
5e87282b-90a9-c95b-5500-3ed184adf066,41
5e87282d-0aef-7d16-8ed7-aaf21dd68d21,60
5e872838-04f7-b2f0-ec46-1be0abb41b0e,36
