outcome,q,b,se,by
update_mag_deaths,0,-.4685245567705122,.8185621257674002,deaths
update_mag_deaths,0,.8382779503180661,.1353461249336526,diff
update_covid,0,-.0421722248230662,.0816716440482938,deaths
update_covid,0,.9176945503476115,.1349629910360974,diff
update_mag_deaths,10,.6693599113685685,.7540699871392647,deaths
update_mag_deaths,10,1.142313434166446,.1538482976898972,diff
update_covid,10,.0908913957857531,.0741685285816797,deaths
update_covid,10,1.202727272727274,.1574380950675259,diff
update_mag_deaths,20,-.1933321487730351,.7546131726702603,deaths
update_mag_deaths,20,.9814680661407107,.1297370102517016,diff
update_covid,20,-.0051768282061915,.0725905233891556,deaths
update_covid,20,1.004575163398693,.127275273375948,diff
update_mag_deaths,30,-1.507798680460556,.7360197060232597,deaths
update_mag_deaths,30,.724286416555738,.1090194934039607,diff
update_covid,30,-.1408402166999546,.0692853935218003,deaths
update_covid,30,.7302287581699354,.1090218483528161,diff
update_mag_deaths,40,.1272549411255183,.8110962093864388,deaths
update_mag_deaths,40,1.031108259384904,.2285794254296093,diff
update_covid,40,.0143139559652314,.0783405815568701,deaths
update_covid,40,1.058232931726908,.2313729429985349,diff
update_mag_deaths,50,-.74646004369172,.7966207125201543,deaths
update_mag_deaths,50,.8665122799428712,.139045096935545,diff
update_covid,50,-.0619802763444455,.0709334459904634,deaths
update_covid,50,.8688172043010752,.1382349937145425,diff
update_mag_deaths,60,.047704508828871,.6904367268705173,deaths
update_mag_deaths,60,.9635521859338663,.2280952805861076,diff
update_covid,60,-.0062872802548148,.0644792457804668,deaths
update_covid,60,.9190962099125363,.2140104261939844,diff
update_mag_deaths,70,-.8097219715519096,.8739101914144169,deaths
update_mag_deaths,70,.8442342526823876,.2803992372694221,diff
update_covid,70,-.0848866835700195,.0793112415660017,deaths
update_covid,70,.8187134502923979,.2700169387125332,diff
update_mag_deaths,80,-.7062215889255947,.709774640639585,deaths
update_mag_deaths,80,.8083220552422522,.150204394800386,diff
update_covid,80,-.0668850470673868,.0618735644613795,deaths
update_covid,80,.8080697928026185,.1474965509387331,diff
update_mag_deaths,90,-.9517495221495964,1.047763940351398,deaths
update_mag_deaths,90,.8198197222916279,.1200827771720547,diff
update_covid,90,-.083177579214906,.0740792551634524,deaths
update_covid,90,.8089393661842825,.1163568271359813,diff
